epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1345.83,1.59921,1.573,1.21485,1.09338,0,0.69204,0.71679,0.74007,0.3519,0.68988,0.72431,0.73254,0.23527,1.59549,1.52195,1.35378,1.15988,0,0.00198862,0.00198862,0.00198862
29,1418.47,1.58865,1.58934,1.26891,1.1066,0,0.70235,0.68011,0.72654,0.35037,0.71458,0.68421,0.71657,0.25098,1.57657,1.46643,1.33189,1.16346,0,0.0019879,0.0019879,0.0019879
30,1457.99,1.56364,1.53544,1.24115,1.08843,0,0.71624,0.75188,0.76132,0.37571,0.72002,0.7594,0.74255,0.25116,1.57415,1.47753,1.22362,1.1216,0,0.00198655,0.00198655,0.00198655
31,1495.52,1.56706,1.54947,1.21415,1.08463,0,0.69184,0.74937,0.77213,0.38194,0.70526,0.71178,0.73792,0.24778,1.5742,1.45456,1.29959,1.14415,0,0.00198581,0.00198581,0.00198581
32,1534.43,1.60207,1.55787,1.21897,1.10096,0,0.7458,0.73684,0.76877,0.36353,0.75151,0.73183,0.76122,0.2446,1.59405,1.51368,1.37639,1.15004,0,0.00198507,0.00198507,0.00198507
33,1571.48,1.59229,1.5504,1.2264,1.08658,0,0.67764,0.72178,0.72436,0.35842,0.68584,0.71679,0.73805,0.23231,1.61222,1.51389,1.23207,1.139,0,0.00198426,0.00198426,0.00198426
34,1608.96,1.54988,1.5254,1.19626,1.08056,0,0.71291,0.74684,0.7704,0.37922,0.71017,0.70624,0.75016,0.24984,1.61343,1.48214,1.20227,1.15814,0,0.0019835,0.0019835,0.0019835
35,1646.12,1.56522,1.53999,1.17074,1.07847,0,0.75074,0.74185,0.77883,0.3817,0.72791,0.7193,0.73782,0.25657,1.58979,1.45778,1.13379,1.13802,0,0.00198273,0.00198273,0.00198273
36,1683.45,1.55324,1.56478,1.20149,1.07177,0,0.66734,0.67669,0.69186,0.33018,0.718,0.68421,0.70963,0.23376,1.60962,1.54882,1.32582,1.16816,0,0.00198189,0.00198189,0.00198189
37,1720.51,1.52567,1.53155,1.16641,1.06315,0,0.74233,0.73434,0.77977,0.37383,0.71149,0.74166,0.75822,0.24624,1.63702,1.51914,1.18924,1.14954,0,0.00198111,0.00198111,0.00198111
38,1757.52,1.55571,1.5409,1.19039,1.07119,0,0.67055,0.72431,0.72403,0.36626,0.70511,0.7431,0.75122,0.26392,1.56436,1.46155,1.21034,1.12408,0,0.00198025,0.00198025,0.00198025
39,1794.5,1.56425,1.59113,1.19215,1.07329,0,0.64959,0.72015,0.73005,0.35858,0.65499,0.73274,0.73594,0.24657,1.57383,1.52027,1.35616,1.13386,0,0.00197939,0.00197939,0.00197939
40,1836.39,1.55636,1.53434,1.1751,1.07224,0,0.66738,0.74937,0.74092,0.36195,0.69277,0.71679,0.73666,0.24651,1.60909,1.52044,1.18735,1.12645,0,0.00197851,0.00197851,0.00197851
41,1873.34,1.54882,1.56776,1.17773,1.07431,0,0.72788,0.6817,0.74766,0.37031,0.78125,0.64411,0.71329,0.24672,1.55732,1.45009,1.17779,1.12449,0,0.00197755,0.00197755,0.00197755
42,1910.39,1.53242,1.51288,1.14951,1.07048,0,0.71843,0.70927,0.74956,0.3758,0.7248,0.73268,0.7626,0.2487,1.57212,1.47971,1.19783,1.13664,0,0.00197658,0.00197658,0.00197658
